00851424000160	SULMOVEIS COMERCIO E REPRESENTACOES LTDA
00872322000120	PRE PORT SERVICOS POSTAIS LTDA
00887001000108	A. P. M. F. COLEGIO ESTADUAL RIO DO SALTO
00940190000127	CIRCULO DE PAIS E MESTRES DA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL PRESIDENTE JOAO GOULART CIEP
00958378000100	CAS TECNOLOGIA S.A.
00983279000170	ALEXANDRE HENRIQUE NERONI
00998959000168	C P M ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CARLOS OSWIN FRANKE
01009452000105	D C S VASCONCELOS
01020029000106	EUROP ASSISTANCE BRASIL SERVICOS DE ASSISTENCIA S/A.
01027023000152	CONDOMINIO EDIFICIO ALTO DO COSTA AZUL
01045227000116	ROSANGELA DE CARVALHO
01067974000155	MUNICIPIO DE PONTE ALTA DO TOCANTINS
01079435000136	CONDOMINIO CLUBE ELIANA
01084292000150	CASA BRANCA SERVICOS DE FRANQUIA POSTAL LTDA
01097992000180	DOMINGOS CARVALHO PEREIRA
01112763000197	ASSOCIACAO DE APOIO DO COLEGIO ESTADUAL MARECHAL ARTUR DA COSTA E SILVA
01114929000104	A 1 RECUPERADORA DE VEICULOS LTDA
01126404000199	LIRA SAT SOLUCOES TECNOLOGICAS LTDA
01133616000101	ROTARY CLUB DOIS VIZINHOS
01156404000131	SANDRA MIGUEL JURI
01156404000199	
01160184000110	INTELSEG SISTEMAS DE SEGURANCA LTDA
01164292000160	MUNICIPIO DE CACU
01188817000106	CONFECCOES LALLYNHA LTDA
01190132000196	ASSOCIACAO AMIGOS DA TERCEIRA IDADE
01194212000110	CIRCULO PAIS MESTRES ESC.MUN.1 GRAU INC.GENERAL OSORIO
01203697000160	CONTRA TEMPO MODAS LTDA
01209233000161	PAVELSKI PROJETOS E OBRAS LTDA
01212863000195	WESTLINE INFORMATICA E AUTOMACAO LTDA
01217297000104	VIDRACARIA PYRAMIDE LTDA
01217538000115	MUNICIPIO DE TRINDADE
01219807000182	MUNICIPIO DE URUACU
01227755000196	NATURAGUA DISTRIBUIDORA DE BEBIDAS LTDA
01232218000134	ZUMVI ARQUIVO FOTOGRAFICO
01232578000136	SANTA ISABEL CAMARA MUNICIPAL
01249146000138	COSTA & BATISTA LTDA
01256081000158	MARCOS QUENEDI CORREA CAVALHEIRO
01263870000116	ASSOCIACAO MEDICA HOMEOPATICA DO DISTRITO FEDERAL
01265895000159	HTP SOLUTION INFORMATICA E SISTEMAS S/A
01275072000104	ASSOCIACAO DOS SUBTEN E SARGENTOS DO ESTADO DE GOIAS
01291998000193	PUBLIQUE COMPOSICAO E ARTE FINAL LTDA
01316969000139	CONDOMINIO JARDIM DA COLINA
01330823000148	CONDOMINIO GERIBA INN HOTEL RESIDENCIA
01348793000105	FILIPINI CORRETORA DE SEGUROS LTDA
01356308000137	CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA AMESC
01365233000150	FORNET COMUNICACOES LTDA
01370289000101	ALTASOFT DESENVOLVIMENTO DE SISTEMAS LTDA
01376384000104	ASSOCIACAO DOS POSSUIDORES E MORADORES DO LOTEAMENTO ARUA
01384212000182	METASUL - ADMINISTRADORA E CORRETORA DE SEGUROS LTDA
01409705000120	SECRETARIA DE ESTADO DA EDUCACAO
